Epoch,| bandwidth,d_loss,d_msstftd,adv_msstftd,feat_msstftd,l1,msspec,penalty,ratio1,g_loss,ratio2,mel,sisnr,adv,feat,duration,| sisnr,| duration
62,1.1,,,0.73,0.025,0.015,0.038,,,,,0.262,-6.217,0.73,0.025,169.22,,
63,1.1,1.572,1.572,0.497,0.025,0.014,0.033,0.385,0.297,3.342,190.877,0.25,-6.209,0.497,0.025,1358.18,,
63,1.1,,,0.557,0.026,0.015,0.038,,,,,0.262,-6.234,0.557,0.026,171.423,,
64,1.1,1.57,1.57,0.499,0.025,0.014,0.033,0.386,0.296,3.33,199.687,0.249,-6.266,0.499,0.025,1365.074,,
64,1.1,,,0.586,0.025,0.015,0.038,,,,,0.262,-6.268,0.586,0.025,172.713,,
65,1.1,1.568,1.568,0.5,0.025,0.014,0.033,0.385,0.296,3.313,198.484,0.249,-6.262,0.5,0.025,1354.556,,
65,1.1,,,0.345,0.026,0.015,0.038,,,,,0.261,-6.264,0.345,0.026,157.529,,
66,1.1,1.568,1.568,0.501,0.025,0.014,0.033,0.384,0.293,3.302,199.598,0.249,-6.249,0.501,0.025,1343.809,,
66,1.1,,,0.495,0.026,0.015,0.038,,,,,0.261,-6.256,0.495,0.026,169.11,,
67,1.1,1.565,1.565,0.501,0.026,0.014,0.033,0.384,0.293,3.295,195.951,0.248,-6.296,0.501,0.026,1343.994,,
67,1.1,,,0.542,0.026,0.015,0.038,,,,,0.261,-6.277,0.542,0.026,164.352,,
68,1.1,1.563,1.563,0.501,0.026,0.014,0.033,0.384,0.295,3.282,201.212,0.248,-6.304,0.501,0.026,1337.992,,
68,1.1,,,0.451,0.026,0.015,0.038,,,,,0.261,-6.285,0.451,0.026,162.656,,
69,1.1,1.562,1.562,0.501,0.026,0.014,0.033,0.382,0.294,3.279,199.996,0.248,-6.292,0.501,0.026,1347.367,,
69,1.1,,,0.572,0.026,0.015,0.038,,,,,0.261,-6.286,0.572,0.026,170.026,,
70,1.1,1.56,1.56,0.5,0.026,0.014,0.033,0.382,0.291,3.273,195.54,0.247,-6.338,0.5,0.026,1348.147,,
70,1.1,,,0.557,0.027,0.015,0.038,,,,,0.26,-6.274,0.557,0.027,169.208,,
71,1.1,1.558,1.558,0.5,0.026,0.014,0.033,0.382,0.292,3.265,193.273,0.247,-6.314,0.5,0.026,1351.426,,
71,1.1,,,0.621,0.027,0.015,0.038,,,,,0.26,-6.275,0.621,0.027,166.947,,
72,1.1,1.557,1.557,0.5,0.027,0.014,0.033,0.382,0.29,3.253,195.223,0.246,-6.365,0.5,0.027,1343.154,,
72,1.1,,,0.486,0.027,0.015,0.038,,,,,0.26,-6.3,0.486,0.027,170.381,,
73,1.1,1.554,1.554,0.501,0.027,0.014,0.033,0.38,0.292,3.252,194.831,0.246,-6.367,0.501,0.027,1345.382,,
73,1.1,,,0.579,0.027,0.014,0.038,,,,,0.26,-6.302,0.579,0.027,162.151,,
74,1.1,1.553,1.553,0.501,0.027,0.014,0.033,0.38,0.298,3.234,193.759,0.247,-6.401,0.501,0.027,1346.386,,
74,1.1,,,0.623,0.027,0.015,0.038,,,,,0.261,-6.316,0.623,0.027,167.25,,
75,1.1,1.552,1.552,0.501,0.027,0.014,0.033,0.38,0.291,3.229,194.423,0.246,-6.392,0.501,0.027,1339.286,,
75,1.1,,,0.494,0.028,0.014,0.038,,,,,0.26,-6.321,0.494,0.028,173.781,,
75,,,,,,,,,,,,,,,,116.312,-7.257,
75,,,,,,,,,,,,,,,,,,135.864
76,1.1,1.55,1.55,0.501,0.027,0.014,0.033,0.38,0.29,3.214,193.393,0.246,-6.397,0.501,0.027,1351.112,,
76,1.1,,,0.622,0.028,0.014,0.038,,,,,0.26,-6.312,0.622,0.028,164.794,,
77,1.1,1.547,1.547,0.503,0.027,0.014,0.033,0.379,0.289,3.211,191.045,0.246,-6.405,0.503,0.027,1347.601,,
77,1.1,,,0.588,0.028,0.015,0.038,,,,,0.261,-6.316,0.588,0.028,172.217,,
78,1.1,1.545,1.545,0.501,0.028,0.014,0.033,0.379,0.285,3.218,190.743,0.246,-6.442,0.501,0.028,1350.941,,
78,1.1,,,0.546,0.028,0.014,0.038,,,,,0.26,-6.312,0.546,0.028,166.015,,
79,1.1,1.544,1.544,0.502,0.028,0.014,0.032,0.38,0.285,3.209,192.368,0.245,-6.43,0.502,0.028,1349.998,,
79,1.1,,,0.374,0.029,0.014,0.038,,,,,0.259,-6.341,0.374,0.029,199.435,,
80,1.1,1.542,1.542,0.502,0.028,0.014,0.032,0.378,0.283,3.197,192.543,0.245,-6.456,0.502,0.028,1387.937,,
80,1.1,,,0.502,0.029,0.014,0.038,,,,,0.259,-6.344,0.502,0.029,179.853,,
81,1.1,1.543,1.543,0.503,0.028,0.014,0.032,0.377,0.283,3.18,197.136,0.245,-6.451,0.503,0.028,1418.647,,
81,1.1,,,0.451,0.029,0.014,0.038,,,,,0.26,-6.34,0.451,0.029,208.975,,
82,1.1,1.539,1.539,0.502,0.028,0.014,0.032,0.378,0.283,3.181,192.64,0.244,-6.485,0.502,0.028,1390.667,,
82,1.1,,,0.487,0.029,0.014,0.038,,,,,0.258,-6.358,0.487,0.029,242.413,,
83,1.1,1.539,1.539,0.502,0.028,0.014,0.032,0.377,0.281,3.173,194.303,0.244,-6.493,0.502,0.028,1405.451,,
83,1.1,,,0.429,0.03,0.014,0.038,,,,,0.259,-6.318,0.429,0.03,166.356,,
84,1.1,1.537,1.537,0.504,0.029,0.014,0.032,0.377,0.282,3.174,192.269,0.243,-6.491,0.504,0.029,1359.633,,
84,1.1,,,0.692,0.029,0.014,0.038,,,,,0.259,-6.343,0.692,0.029,179.871,,
85,1.1,1.535,1.535,0.504,0.029,0.014,0.032,0.375,0.281,3.153,193.63,0.243,-6.522,0.504,0.029,1363.937,,
85,1.1,,,0.587,0.03,0.014,0.038,,,,,0.259,-6.351,0.587,0.03,174.896,,
86,1.1,1.533,1.533,0.505,0.029,0.014,0.032,0.376,0.282,3.162,191.963,0.243,-6.526,0.505,0.029,1345.424,,
86,1.1,,,0.656,0.03,0.014,0.038,,,,,0.259,-6.345,0.656,0.03,169.818,,
87,1.1,1.532,1.532,0.506,0.029,0.014,0.032,0.376,0.283,3.151,189.976,0.243,-6.517,0.506,0.029,1346.482,,
87,1.1,,,0.535,0.03,0.014,0.038,,,,,0.258,-6.366,0.535,0.03,168.872,,
88,1.1,1.53,1.53,0.506,0.029,0.014,0.032,0.374,0.281,3.136,198.208,0.242,-6.516,0.506,0.029,1344.801,,
88,1.1,,,0.509,0.03,0.014,0.038,,,,,0.258,-6.382,0.509,0.03,162.048,,
89,1.1,1.531,1.531,0.505,0.03,0.014,0.032,0.375,0.281,3.133,190.878,0.242,-6.539,0.505,0.03,1349.832,,
89,1.1,,,0.495,0.03,0.014,0.038,,,,,0.258,-6.392,0.495,0.03,166.868,,
90,1.1,1.529,1.529,0.505,0.03,0.014,0.032,0.375,0.282,3.135,187.209,0.241,-6.54,0.505,0.03,1346.906,,
90,1.1,,,0.437,0.031,0.014,0.038,,,,,0.258,-6.377,0.437,0.031,168.435,,
91,1.1,1.528,1.528,0.507,0.03,0.014,0.032,0.375,0.281,3.131,192.167,0.241,-6.596,0.507,0.03,1344.87,,
91,1.1,,,0.559,0.031,0.014,0.037,,,,,0.257,-6.39,0.559,0.031,162.74,,
92,1.1,1.527,1.527,0.507,0.03,0.014,0.032,0.375,0.282,3.123,195.795,0.241,-6.56,0.507,0.03,1344.235,,
92,1.1,,,0.679,0.031,0.014,0.038,,,,,0.258,-6.382,0.679,0.031,158.043,,
93,1.1,1.526,1.526,0.506,0.03,0.014,0.032,0.374,0.281,3.113,191.602,0.241,-6.563,0.506,0.03,1333.414,,
93,1.1,,,0.611,0.031,0.014,0.037,,,,,0.257,-6.382,0.611,0.031,158.649,,
94,1.1,1.525,1.525,0.507,0.03,0.014,0.032,0.373,0.282,3.104,189.049,0.241,-6.593,0.507,0.03,1338.15,,
94,1.1,,,0.434,0.032,0.014,0.038,,,,,0.258,-6.399,0.434,0.032,157.563,,
95,1.1,1.523,1.523,0.508,0.031,0.014,0.032,0.373,0.282,3.107,188.83,0.241,-6.597,0.508,0.031,1346.938,,
95,1.1,,,0.513,0.031,0.014,0.037,,,,,0.257,-6.401,0.513,0.031,155.688,,
96,1.1,1.521,1.521,0.508,0.031,0.014,0.032,0.373,0.282,3.096,187.619,0.24,-6.597,0.508,0.031,1338.26,,
96,1.1,,,0.645,0.032,0.014,0.038,,,,,0.257,-6.397,0.645,0.032,155.684,,
97,1.1,1.52,1.52,0.508,0.031,0.014,0.031,0.373,0.283,3.09,187.439,0.24,-6.61,0.508,0.031,1334.481,,
97,1.1,,,0.816,0.032,0.014,0.037,,,,,0.257,-6.397,0.816,0.032,153.736,,
98,1.1,1.52,1.52,0.507,0.031,0.014,0.031,0.374,0.284,3.096,187.929,0.24,-6.629,0.507,0.031,1338.365,,
98,1.1,,,0.435,0.032,0.014,0.037,,,,,0.257,-6.393,0.435,0.032,162.651,,
99,1.1,1.519,1.519,0.508,0.031,0.014,0.031,0.373,0.283,3.089,190.718,0.24,-6.616,0.508,0.031,1340.26,,
99,1.1,,,0.526,0.033,0.014,0.037,,,,,0.257,-6.39,0.526,0.033,158.281,,
100,1.1,1.519,1.519,0.508,0.031,0.013,0.031,0.371,0.281,3.069,187.714,0.239,-6.64,0.508,0.031,1327.811,,
100,1.1,,,0.625,0.033,0.014,0.037,,,,,0.256,-6.392,0.625,0.033,156.939,,
100,,,,,,,,,,,,,,,,109.247,-7.327,
100,,,,,,,,,,,,,,,,,,101.898
101,1.1,1.516,1.516,0.51,0.032,0.014,0.031,0.373,0.282,3.076,186.039,0.239,-6.663,0.51,0.032,1341.215,,
101,1.1,,,0.577,0.032,0.014,0.037,,,,,0.256,-6.422,0.577,0.032,160.501,,
102,1.1,1.516,1.516,0.509,0.032,0.014,0.031,0.37,0.281,3.064,182.96,0.239,-6.637,0.509,0.032,1337.424,,
102,1.1,,,0.463,0.033,0.014,0.037,,,,,0.256,-6.414,0.463,0.033,162.317,,
103,1.1,1.515,1.515,0.511,0.032,0.014,0.031,0.37,0.281,3.062,182.911,0.239,-6.654,0.511,0.032,1332.581,,
103,1.1,,,0.613,0.033,0.014,0.037,,,,,0.256,-6.399,0.613,0.033,166.306,,
104,1.1,1.513,1.513,0.51,0.032,0.013,0.031,0.371,0.28,3.06,188.828,0.238,-6.68,0.51,0.032,1344.657,,
104,1.1,,,0.417,0.033,0.014,0.037,,,,,0.256,-6.41,0.417,0.033,164.404,,
105,1.1,1.513,1.513,0.511,0.032,0.013,0.031,0.371,0.281,3.054,184.22,0.238,-6.683,0.511,0.032,1338.398,,
105,1.1,,,0.316,0.034,0.014,0.037,,,,,0.256,-6.411,0.316,0.034,158.987,,
106,1.1,1.512,1.512,0.511,0.032,0.013,0.031,0.371,0.28,3.048,192.258,0.238,-6.712,0.511,0.032,1340.354,,
106,1.1,,,0.404,0.034,0.014,0.037,,,,,0.256,-6.42,0.404,0.034,173.229,,
107,1.1,1.511,1.511,0.512,0.033,0.013,0.031,0.369,0.278,3.04,188.463,0.238,-6.678,0.512,0.033,1337.574,,
107,1.1,,,0.426,0.034,0.014,0.037,,,,,0.256,-6.426,0.426,0.034,163.437,,
108,1.1,1.509,1.509,0.513,0.033,0.013,0.031,0.369,0.28,3.036,184.021,0.238,-6.683,0.513,0.033,1345.03,,
108,1.1,,,0.406,0.034,0.014,0.037,,,,,0.256,-6.429,0.406,0.034,163.453,,
109,1.1,1.51,1.51,0.513,0.033,0.013,0.031,0.369,0.283,3.035,184.515,0.237,-6.733,0.513,0.033,1340.645,,
109,1.1,,,0.466,0.034,0.014,0.037,,,,,0.256,-6.425,0.466,0.034,154.836,,
110,1.1,1.349,1.349,0.589,0.065,0.032,0.077,0.407,0.289,6.665,53.362,0.264,-1.955,0.589,0.065,1023.407,,
110,1.1,,,0.545,0.064,0.031,0.076,,,,,0.259,-2.335,0.545,0.064,161.419,,
111,1.1,1.39,1.39,0.56,0.064,0.031,0.075,0.423,0.301,6.918,54.14,0.257,-2.317,0.56,0.064,896.031,,
111,1.1,,,0.484,0.064,0.03,0.076,,,,,0.256,-2.534,0.484,0.064,111.219,,
